TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
368,0.93284,1.19711,1.13862,1.02282,0.389864
369,0.721339,1.25741,0.979266,1.77206,0.604429
370,1.18505,2.04394,0.164128,1.76844,0.891744
371,2.15465,3.15455,0.0226236,1.10314,0.834951
372,2.61808,3.52005,0.272877,0.517812,0.524696
373,2.12936,2.28906,0.176549,0.21561,0.201048
374,1.35137,0.608458,-0.131461,0.468121,0.219743
375,0.816984,0.675549,-0.132756,1.13731,0.604501
376,1.04049,2.27848,0.257765,1.20689,1.1555
377,1.15303,3.16702,0.752649,0.635538,1.07618
378,1.0306,2.61763,1.18407,-0.0277684,0.49008
379,1.23522,1.90657,1.35089,-0.328266,0.595214
380,1.64901,1.83691,0.847854,0.037938,1.17976
381,1.94402,2.24512,-0.128588,0.312223,1.70487
382,1.80492,2.51632,-0.67324,0.295381,1.37102
383,1.46517,2.47462,0.0619593,0.797527,0.573684
384,1.32479,2.36195,1.58682,1.73658,0.456284
385,1.47827,1.93705,2.20808,1.8885,1.10006
386,1.46396,1.27711,1.1026,0.674813,1.43443
387,0.99554,1.2049,-0.234161,-0.44719,0.984616
388,0.610926,1.79476,-0.491409,-0.321949,0.662588
389,0.892722,1.99472,0.024024,0.555734,0.703632
390,1.29028,1.84815,0.534807,0.975504,0.637214
391,0.969193,2.13857,0.856946,0.720475,0.537872
392,0.955284,2.22805,0.851915,0.699861,0.462311
393,1.76619,1.89015,0.441102,0.957653,0.970642
394,2.06738,1.72949,0.110482,1.05221,1.65981
395,1.22489,2.35317,0.233864,0.675335,1.67731
396,0.494644,3.37138,0.671895,0.180632,1.01086
397,0.745441,3.87187,1.00017,-0.159091,0.194046
398,1.54587,3.12177,0.803749,-0.212304,-0.52333
399,1.84602,1.94708,0.699986,0.637864,-0.516655
400,1.37519,1.74917,0.993132,1.92206,0.641622
401,0.555318,2.1008,1.27362,1.8709,2.18328
402,-0.0989033,2.1759,1.52971,0.901732,2.52557
403,0.059109,2.20633,1.57518,0.824365,1.72806
404,1.03397,2.21451,1.16164,2.00454,1.47776
405,1.99477,2.21736,0.446979,2.74191,1.86875
406,1.94862,1.96027,0.0531687,2.05132,1.78002
407,1.17065,1.92756,0.625445,1.08787,1.08823
408,0.754202,2.54496,1.51764,0.849285,0.590941
409,1.08907,2.93588,1.56062,1.49946,0.771952
410,1.56744,2.64972,1.06722,1.88548,1.24709
411,1.6213,2.06228,0.757738,1.0174,1.31205
412,1.4472,1.71493,0.81638,-0.321187,1.11699
413,1.56071,1.53229,0.848177,-0.798897,1.09477
414,1.93724,1.39245,0.477619,0.0421785,1.03034
415,1.93888,1.51243,0.323759,1.42267,0.86754
416,1.38264,1.99273,0.833476,2.12128,0.58468
417,0.940232,2.32595,1.27222,1.60254,0.449379
418,1.15891,2.33008,1.31358,0.810021,0.410759
419,1.52269,2.44587,0.879123,0.925187,0.645853
420,1.30904,2.44324,-0.0575566,1.75703,1.31586
421,0.737106,2.00956,-0.598226,1.93574,1.91556
422,0.976943,1.83195,0.367579,0.805164,1.36148
423,1.66075,1.96024,2.09149,-0.158348,0.0872552
424,1.89594,1.91794,2.65033,0.502385,-0.273864
425,1.54454,2.07019,1.51887,1.59511,0.702671
426,0.817744,2.6201,0.421401,1.40871,1.44224
427,0.644734,3.1077,0.746301,0.702098,1.33165
428,1.07358,3.20298,1.74989,0.838142,1.0693
429,1.46157,3.03178,2.23111,1.46017,1.33219
430,1.14258,2.35983,1.85511,1.73749,1.9935
431,0.696057,1.81243,0.990371,1.38618,2.15899
432,1.19703,1.97628,0.341161,0.834004,1.37146
433,1.79302,2.36079,0.417445,0.885049,0.485286
434,1.64259,2.26516,0.882651,1.49258,0.00862546
435,0.797512,1.6352,0.967874,1.95882,0.0601253
436,-0.250545,1.35214,0.892765,1.69552,0.489434
437,-0.399944,2.07408,0.95389,0.765782,0.909153
438,0.518648,2.6254,1.06141,0.2735,1.37221
439,1.41425,2.47985,1.1717,0.901781,1.88704
440,1.30356,2.12671,1.12541,1.80138,1.91196
441,0.701192,1.87335,0.965687,1.90663,1.49462
442,0.582907,2.19017,0.882984,1.18384,0.747359
443,0.884311,2.7784,1.21199,0.571834,-0.0258249
444,0.662643,2.69304,1.70319,0.497615,0.117675
445,0.0275705,1.75141,1.62785,0.897113,1.03396
446,0.146071,1.42259,1.14499,1.18974,1.94783
447,1.08283,2.26942,0.884886,1.22857,2.51564
448,1.69482,2.93347,0.903135,1.20031,2.4742
449,1.61809,2.71738,0.830436,1.31386,1.77931
450,1.07985,1.90756,0.918486,1.31731,0.851809
451,0.579624,1.5418,1.76714,1.26786,0.0581527
452,0.68544,1.83237,2.59198,1.35601,0.182111
453,0.929468,2.08065,2.30513,1.30318,1.13675
454,0.906791,1.88335,1.23801,1.3262,1.82353
455,0.889633,1.3523,0.661774,2.16288,2.0166
456,1.04918,1.1019,1.02175,2.97809,2.05166
457,1.21659,1.77341,1.65622,2.4451,1.6888
458,1.36009,3.03296,1.80856,1.19604,1.12672
459,1.16431,3.71903,1.42136,0.598882,1.03108
460,0.345065,3.54182,1.10177,1.07275,0.914734
461,0.0805679,3.21048,1.20082,1.94394,0.827378
462,1.03258,2.94428,1.54382,2.37382,1.03252
463,2.27107,2.64656,1.64745,2.24843,1.20783
464,2.10739,2.11784,1.31596,1.91748,1.11589
465,0.619999,1.65611,1.15335,1.37637,0.738121
466,-0.379371,1.53798,1.67742,0.990946,0.430358
467,-0.01789,2.0219,2.17448,0.899696,0.640699
468,0.779962,2.53858,1.84224,0.947408,0.922031
469,1.15006,2.19756,0.986677,1.02516,0.684078
470,1.18425,1.70994,0.644003,1.34926,0.589696
471,1.3965,2.17308,1.16121,1.9092,0.923222
472,1.46141,2.74103,1.75237,2.20097,1.13661
473,0.873218,2.74054,1.76182,1.41449,1.30847
474,0.165691,2.19765,1.66591,0.321185,1.7075
475,0.132369,1.7698,1.91383,0.580144,2.32276
476,1.04434,2.35711,2.1434,1.96875,3.0422
477,2.39832,3.4454,1.51442,2.84137,3.41584
478,2.82509,3.86765,0.476737,2.23848,2.57757
479,1.79637,3.40376,0.270393,0.936,0.735505
480,0.721827,2.46108,1.128,0.348668,-0.590926
481,0.75724,2.07211,2.11095,0.693499,-0.374957
482,1.62258,2.56575,2.49611,1.02476,1.3442
483,2.30801,2.85315,2.18751,1.38949,3.19627
484,1.76387,2.20655,1.9829,1.72988,3.38719
485,0.609156,1.33109,1.89772,2.16154,2.36573
486,0.683547,1.20995,1.74121,2.75378,1.18805
487,1.79012,2.04076,1.70586,2.75934,0.155413
488,1.87624,2.90997,1.57847,1.76048,-0.589342
