Pad,CoBo,Asad,Aget,Ch
1320,2,3,2,9
1321,2,2,3,14
1322,2,3,3,29
1323,2,3,2,12
1324,2,3,3,25
1325,2,3,3,15
1326,2,3,3,13
1327,2,3,3,40
1328,2,3,3,55
1329,2,3,3,38
1330,2,3,1,6
1331,2,3,3,53
1332,2,3,1,2
1333,2,3,2,44
1334,2,3,2,53
1335,2,3,2,49
1336,2,3,1,0
1337,0,2,1,59
1338,0,2,0,30
1339,0,2,1,57
1340,0,2,1,52
1341,0,2,0,28
1342,0,2,1,48
1343,0,2,0,26
1344,0,2,0,21
1345,0,2,1,46
1346,0,2,1,47
1347,0,2,1,43
1348,0,2,1,41
1349,0,2,1,38
1350,0,2,1,37
1351,0,2,1,36
1352,0,2,1,34
1353,0,2,1,31
